ID,FDP_ID,Election,Year,County,Agency,Measure,ElectionType,AgencyType,BallotQ_Coll,Impartial_Coll,Fiscal_Coll,Resolution_Coll,Ordinance_Coll,For_Coll,Against_Coll,RebutFor_Coll,RebutAgainst_Coll,ProjectBack_Coll,NotTaxFile,CantFindFile,ChangedOGFile,ChangedFileInfo,ChangeNotes,Notes,FileNames_Actual,Policy_Text,Clean_Policy_Text,Imp_Text,Clean_Imp_Text,Text_NOTES,Policy_Coll,FileName_Temp
Heat579,1168, 11/8/1994,1994,Riverside,Coachella Fire Protection District,GG,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat580,1198,  6/7/1994,1994,Sacramento,City of Sacramento,T,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat581,1212, 11/8/1994,1994,Sacramento,Sacramento County,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat582,1220, 11/8/1994,1994,Sacramento,Sacramento County Regional Park and Open Space District,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat583,2804, 11/8/1994,1994,San Bernardino,Bear Valley Community Hospital District,U,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat584,2806,  6/7/1994,1994,San Bernardino,Bloomington Recreation and Parks District,N,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat585,1240, 11/8/1994,1994,San Bernardino,City of Big Bear Lake,W,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat586,2829, 11/8/1994,1994,San Bernardino,San Bernardino County Service Area No. 38 Improvement Zone TV-3,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat587,2835,  6/7/1994,1994,San Diego,Borrego Springs Fire Protection District,K,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat588,1337, 11/8/1994,1994,San Diego,City of Vista,N,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat589,2852, 11/8/1994,1994,San Diego,San Diego County Community Services District (Lake San Marcos),T,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat590,1388,  6/7/1994,1994,San Francisco,City & County of San Francisco,B,,,,,,,,,,,,,1,,,,,,,,,,,,,
Heat591,1389, 11/8/1994,1994,San Francisco,City & County of San Francisco,D,,,,,,,,,,,,,1,,,,,,,,,,,,,
Heat594,1400, 11/8/1994,1994,San Francisco,City of San Francisco,C,,,,,,,,,,,,,1,,,,,,,,,,,,,
Heat592,1398, 11/8/1994,1994,San Francisco,City of San Francisco,A,,,,,,,,,,,,,1,,,,,,,,,,,,,
Heat593,1399, 11/8/1994,1994,San Francisco,City of San Francisco,B,,,,,,,,,,,,,1,,,,,,,,,,,,,
Heat595,1415, 11/8/1994,1994,San Francisco,San Francisco County,O,,,,,,,,,,,,,1,,,,,,,,,,,,,
Heat596,1423,  6/7/1994,1994,San Francisco,San Francisco Unified School District,A,,,,,,,,,,,,,1,,,,,,,,,,,,,
Heat597,2895,  6/7/1994,1994,San Mateo,City of East Palo Alto,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat598,2902, 11/8/1994,1994,San Mateo,City of Pacifica,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat600,1590, 11/8/1994,1994,San Mateo,San Mateo Community Services District (Midcoast),F,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat599,1589, 11/8/1994,1994,San Mateo,San Mateo Community Services District (Midcoast),E,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat601,1625, 11/8/1994,1994,Santa Barbara,Embarcadero MUNI Improvement District,K94,,,,,,,,,,,,,1,,,,,,,,,,,,,
Heat602,1627,  6/7/1994,1994,Santa Barbara,San Ynez Valley Hospital District,E-94,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat603,2933, 11/8/1994,1994,Santa Clara,City of Morgan Hill,G,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat604,1688, 11/8/1994,1994,Santa Clara,City of San Jose,E,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat605,1703, 11/8/1994,1994,Santa Clara,East Side Union High School District,H,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat606,2950, 4/12/1994,1994,Santa Clara,Moreland School District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat607,2965, 11/8/1994,1994,Santa Clara,Santa Clara County Free Library District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat608,2967,  6/7/1994,1994,Santa Clara,Santa Clara County Open Space Authority,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat609,1745, 11/8/1994,1994,Santa Cruz,City of Capitola,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat610,1752, 11/8/1994,1994,Santa Cruz,City of Santa Cruz,N,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat611,1765, 11/8/1994,1994,Santa Cruz,City of Scotts Valley,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat612,1770, 11/8/1994,1994,Santa Cruz,City of Watsonville,U,,,,,,,,,,,,,1,,,,,,,,,,,,,
Heat613,1780, 11/8/1994,1994,Santa Cruz,Freedom Fire Protection District,V,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat614,1788,  6/7/1994,1994,Santa Cruz,San Lorenzo Valley Unified School District,K,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat615,1798, 11/8/1994,1994,Santa Cruz,Santa Cruz County,L,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat616,1817,  6/7/1994,1994,Siskiyou,City of Mount Shasta,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat617,1882,  6/7/1994,1994,Sonoma,City of Healdsburg,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat618,1883,  6/7/1994,1994,Sonoma,City of Healdsburg,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat619,3005,  6/7/1994,1994,Sonoma,City of Petaluma,E,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat620,1955, 4/12/1994,1994,Sonoma,Rincon Valley Fire Protection District,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat621,3034,  6/7/1994,1994,Sutter,Sutter County,V,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat622,3041, 11/8/1994,1994,Sutter,Sutter County Transportation Authority,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat623,2064,  6/7/1994,1994,Ventura,City of Port Hueneme,Z,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat624,2078,  6/7/1994,1994,Ventura,Ventura County,X,,,,,,,,,,,,,1,,,,,,,,,,,,,
Heat625,3107,  6/7/1994,1994,Yuba,Yuba County,V,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat626,3118, 11/8/1994,1994,Yuba,Yuba County Transportation Authority,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat627,223,  6/6/1995,1995,Contra Costa,Acalanes Unified School District,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat628,485, 9/19/1995,1995,Lake,City of Lakeport,R,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat629,564, 11/7/1995,1995,Los Angeles,City of Hermosa Beach,F,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat630,2466,  3/7/1995,1995,Los Angeles,San Marino Unified School District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat631,720,  6/6/1995,1995,Los Angeles,William S. Hart Union High School District,H,,,,,,,,,,,,,,1,,,,,,,,,,,,
Heat632,2476, 9/19/1995,1995,Madera,Chawanakee Joint Elementary School District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat633,2494, 11/7/1995,1995,Marin,City of Sausalito,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat634,2549,  3/7/1995,1995,Marin,San Rafael City Elementary School District,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat635,2560,  6/6/1995,1995,Marin,Town of Corte Madera,H,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat636,921,  6/6/1995,1995,Monterey,City of Monterey,F,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat637,2685,  3/7/1995,1995,Monterey,Pacific Grove Unified School District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat638,2686, 11/7/1995,1995,Monterey,Pacific Grove Unified School District,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat639,1031, 6/27/1995,1995,Orange,Orange County,R,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat640,1147, 11/7/1995,1995,Riverside,City of Norco,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat641,2828,  6/6/1995,1995,San Bernardino,San Bernardino County Service Area No. 29,Z,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat642,2832, 11/7/1995,1995,San Bernardino,San Bernardino County Service Area No. 70 Improvement Zone TV-4,J,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat643,2833, 11/7/1995,1995,San Bernardino,San Bernardino County Service Area No. 70 Improvement Zone TV-5,K,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat644,1451, 11/7/1995,1995,San Joaquin,San Joaquin County Community Services District (New Jerusalem),O,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat645,1486, 11/7/1995,1995,San Mateo,Brisbane Elementary School District,E,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat646,1504, 11/7/1995,1995,San Mateo,City of Atherton,L,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat647,2903, 11/7/1995,1995,San Mateo,Las Lomitas Elementary School District,F,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat648,2905, 11/7/1995,1995,San Mateo,Menlo Park City Elementary School District,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat649,2928, 11/7/1995,1995,Santa Clara,City of Gilroy,O,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat650,1871,  3/7/1995,1995,Solano,Vacaville Unified School District,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat651,1960, 11/7/1995,1995,Sonoma,Santa Rosa Elementary School District,E,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat652,3008, 11/7/1995,1995,Sonoma,Santa Rosa High School District,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat653,3022,  3/7/1995,1995,Stanislaus,Stanislaus County,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat654,3070,  6/6/1995,1995,Tulare,Tulare County,J,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat655,2071, 11/7/1995,1995,Ventura,City of San Buenaventura (Ventura),L,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat656,2103, 11/6/1995,1995,Yolo,Davis Joint Unified School District,U,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat657,15, 11/5/1996,1996,Alameda,Alameda County,D,General,County,1,1,,,,1,1,1,1,,,,,,,,,,,,,,3,
Heat658,29, 3/26/1996,1996,Alameda,City of Alameda,C,Special,City,1,1,,,,1,1,1,1,,,,,,,,,,,,,,1,
Heat659,33, 11/5/1996,1996,Alameda,City of Albany,R,General,City,1,1,,,,1,1,1,1,,,,,,,,,,,,,,1,
Heat660,96, 3/26/1996,1996,Alameda,City of Oakland,I,Special,City,1,1,1,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat661,148, 11/5/1996,1996,Alameda,East Bay Regional Park District,KK,General,Special District,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat662,158, 11/5/1996,1996,Alameda,Oakland Unified School District,B,General,School District,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat663,170, 3/26/1996,1996,Alameda,Pleasanton Unified School District,A,Special,School District,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat664,2129, 11/5/1996,1996,Alameda/ Contra Costa,Alameda-Contra Costa Transit District,JJ,General,Special District,1,1,,,,1,5,5,5,,,,,,,,,,,,,,3,
Heat665,2130, 11/5/1996,1996,Alameda/ Contra Costa,Alameda-Contra Costa Transit District,JJ,,,,,,,,,,,,,,,,,,Same measure as Heat664?,,,,,,,,
Heat666,2150, 3/26/1996,1996,Butte,Butte County,A,Special,County,1,1,,,,1,1,1,1,,,,,,,,,,,,,,3,
Heat668,203, 11/5/1996,1996,Butte,Town of Paradise,P,General,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,3,
Heat667,202, 3/26/1996,1996,Butte,Town of Paradise,B,Special,City,1,1,,,,1,1,1,1,,,,,,,,,,,,,,3,
Heat669,204, 3/26/1996,1996,Calaveras,Calaveras County,B,Special,County,1,1,,,,1,1,1,1,,,,,,,Policy in Ordinance,,,,,,,1,
Heat670,2172, 11/5/1996,1996,Calaveras,City of Angels,B,General,City,3,1,,,,5,1,5,5,,,,,,,,,,,,,,3,
Heat671,2188, 11/5/1996,1996,Contra Costa,City of El Cerrito,G,General,City,1,3,,,,,,,,,,,,,,Policy in Ord (p. 3-4); BallotQ in Ord (p. 3),,,,,,,1,
Heat672,2189, 11/5/1996,1996,Contra Costa,City of El Cerrito,H,,,,,,,,,,,,,,,,,,Could not find File,,,,,,,,
Heat673,241, 3/26/1996,1996,Contra Costa,City of Martinez,D,Special,City,1,3,,,,1,,,,,,,,,,Policy in Ord (p.8); Impartial on p. 2?,,,,,,,1,
Heat674,2199, 11/5/1996,1996,Contra Costa,City of Pittsburg,I,General,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat675,260, 11/5/1996,1996,Contra Costa,City of San Pablo,J,General,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat676,2205, 11/5/1996,1996,Contra Costa,City of San Ramon,K,General,City,1,1,,,,1,,,,,,,,,,,,,,,,,3,
Heat677,2206, 3/26/1996,1996,Contra Costa,City of Walnut Creek,B,,,,,,,,,,,,,,,,,,Could not find file,,,,,,,,
Heat678,2214, 3/26/1996,1996,Contra Costa,Contra Costa County Community Services District (Blackhawk),A,Special,Special District,1,1,,,,1,5,5,5,,,,,,,,,,,,,,3,
Heat679,2216, 11/5/1996,1996,Contra Costa,Contra Costa County Community Services District (El Sobrante Z66),B,General,Special District,1,1,,,,5,5,5,5,,,,,,,,,,,,,,3,
Heat680,2217, 11/5/1996,1996,Contra Costa,Contra Costa County Community Services District (Pacheco Z5),C,General,Special District,1,1,,,,5,5,5,5,,,,,,,,,,,,,,3,
Heat682,2230, 11/5/1996,1996,Contra Costa,East Bay Regional Park District,LL,,,,,,,,,,,,,,,,,,Could not find file,,,,,,,,
Heat681,2229, 11/5/1996,1996,Contra Costa,East Bay Regional Park District,KK,,,,,,,,,,,,,,,,,,Could not find file,,,,,,,,
Heat683,2249, 11/5/1996,1996,Contra Costa,West Contra Costa Unified School District,E,General,School District,1,1,,,,1,1,1,1,,,,,,,,,,,,,,3,
Heat684,2265, 11/5/1996,1996,El Dorado,El Dorado County,J,,,,,,,,,,,,,,,,,,Could not find file,,,,,,,,
Heat685,2270, 3/26/1996,1996,El Dorado,El Dorado County Community Services District (Cameron Park),B,,,,,,,,,,,,,,,,,,Could not find file,,,,,,,,
Heat686,2275, 3/26/1996,1996,El Dorado,El Dorado County Community Services District (El Dorado Hills),C,,,,,,,,,,,,,,,,,,Could not find file,,,,,,,,
Heat687,2308, 11/5/1996,1996,El Dorado,Tahoe City Public Utilities District CFD 1996-1,T,,,,,,,,,,,,,,,,,,Could not find file,,,,,,,,
Heat688,329, 3/26/1996,1996,Fresno,City of Clovis,B,Special,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat689,335, 11/5/1996,1996,Fresno,City of Fowler,D,General,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat690,2314, 11/5/1996,1996,Fresno,City of Orange Cove,H,General,City,1,1,,,,5,5,5,5,,,,,,,,,,,,,,1,
Heat691,2316, 11/5/1996,1996,Fresno,City of Parlier,I,General,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat692,2318, 11/5/1996,1996,Fresno,City of Reedley,J,General,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat693,359, 11/5/1996,1996,Fresno,Coalinga-Huron Library District,B,General,Special District,1,1,,,,1,5,1,1,,,,,,,,,,,,,,1,
Heat694,384, 11/5/1996,1996,Humboldt,City of Arcata,N,General,City,3,1,,,,1,1,1,1,,,,,,,,,,,,,,3,
Heat697,2350, 3/26/1996,1996,Imperial,City of Calexico,Z,Special,City,3,1,,,,5,1,5,5,,1,,,,,,,,,,,,3,
Heat695,414,  6/4/1996,1996,Imperial,City of Calexico,B,Primary,City,1,1,,,,1,1,,,,,,,,,,,,,,,,1,
Heat696,415, 11/5/1996,1996,Imperial,City of Calexico,E,General,City,3,3,,,,,,,,,,,,,,,,,,,,,3,
Heat698,423,  6/4/1996,1996,Imperial,City of El Centro,A,Primary,City,1,1,,,,1,1,1,1,,,,,,,,,,,,,,1,
Heat699,2354,  6/4/1996,1996,Imperial,City of Holtville,C,Primary,City,3,1,,,,1,5,5,5,,,,,,,,,,,,,,3,
Heat700,2358, 11/5/1996,1996,Imperial,City of Westmorland,D,General,City,3,1,,,,5,5,5,5,,,,,,,,,,,,,,3,
Heat703,443, 11/5/1996,1996,Kern,City of California City,M,General,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,3,
Heat701,441, 3/26/1996,1996,Kern,City of California City,G,Special,City,1,1,,,,1,1,1,1,,,,,,,,,,,,,,3,
Heat702,442, 3/26/1996,1996,Kern,City of California City,H,Special,City,1,1,,,,1,1,1,1,,,,,,,,,,,,,,3,
Heat704,463, 11/5/1996,1996,Kern,Frazier Park Public Utility District,P,General,Special District,1,1,,,,,,,,,,,,,,Policy in Resolution (p.3),,,,,,,1,
Heat705,2373, 3/26/1996,1996,Kern,Kern County Community Services District (Bear Valley),J,Special,Special District,1,3,,,,,,,,,,,,,,BallotQ in Res (p.3); ,,,,,,,3,
Heat706,2387, 3/26/1996,1996,Kern,Tehapachi Valley Hospital District,I,Special,Special District,1,3,,,,,,,,,,,,,,BallotQ in Res (p.3); Policy in Res (p.2),,,,,,,1,
Heat707,2392, 11/5/1996,1996,Lake,Lake County Community Services District (Butler-Keys),U,General,Special District,1,3,,,,,,,,,,,,,,,,,,,,,3,
Heat708,2395, 11/5/1996,1996,Lassen,Big Valley Recreation District,C,General,Special District,1,1,,,,1,5,5,5,,,,,,,,,,,,,,3,
Heat709,2418, 11/5/1996,1996,Lassen,Susanville Library District,D,General,Special District,1,1,,,,1,5,5,5,,,,,,,,,,,,,,3,
Heat710,501, 11/5/1996,1996,Los Angeles,City of Agoura Hills,L,General,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat711,505, 11/5/1996,1996,Los Angeles,City of Artesia,N,General,City,1,1,,,,1,,,,,,,,,,,,,,,,,1,
Heat712,2425, 11/5/1996,1996,Los Angeles,City of Avalon,Q,General,City,1,1,,,,,,,,,,,,,,,,,,,,,3,
Heat713,528, 3/26/1996,1996,Los Angeles,City of Beverly Hills,C,Special,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat714,565, 3/26/1996,1996,Los Angeles,City of Hermosa Beach,F,Special,City,1,1,,,,1,1,1,1,,,,,,,,,,,,,,1,
Heat715,582, 3/26/1996,1996,Los Angeles,City of La Habra Heights,G,General,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat716,601, 11/5/1996,1996,Los Angeles,City of Long Beach,Z,General,City,1,1,,,,1,1,1,1,,,,,,,,,,,,,,1,
Heat717,606, 11/5/1996,1996,Los Angeles,City of Los Angeles,K,General,City,1,1,,,,1,1,1,1,,,,,,,,,,,,,,1,
Heat718,638, 11/5/1996,1996,Los Angeles,City of Rancho Palos Verdes,CC,General,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat719,653, 11/5/1996,1996,Los Angeles,City of San Marino,DD,General,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat720,2453, 11/5/1996,1996,Los Angeles,City of Sierra Madre,FF,General,City,1,1,,,,1,1,,,,,,,,,,,,,,,,3,
Heat721,2462, 11/5/1996,1996,Los Angeles,Los Angeles Community College District,AA,General,School District,1,1,,,,1,1,1,1,,,,,,,,,,,,,,,
Heat722,701, 11/5/1996,1996,Los Angeles,Los Angeles County Regional Park and Open Space District,A,General,Special District,1,3,,,,,,,,,,,,,,BallotQ in Res (p.4),,,,,,,2,
Heat723,2474, 11/5/1996,1996,Los Angeles,Whittier City School District CFD,GG,General,School District,1,1,,,,1,5,5,5,,,,,,,,,,,,,,,
Heat724,2486, 3/26/1996,1996,Marin,City of Belvedere,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat725,749, 11/5/1996,1996,Marin,City of Mill Valley CSD No.1996-1,E,General,Special District,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat726,2492, 11/5/1996,1996,Marin,City of Novato,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat727,766,  6/4/1996,1996,Marin,Kentfield School District,B,Primary,School District,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat728,2510, 11/5/1996,1996,Marin,Marin County,A,General,County,1,3,,,,,,,,,,,,,,,,,,,,,3,
Heat729,2521, 11/5/1996,1996,Marin,Marin County Municipal Utilities District,L,General,Special District,1,3,,,,,,,,,,,,,,,,,,,,,3,
Heat730,2535, 11/5/1996,1996,Marin,Mesa Park (Firehouse Community Park District),J,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat731,2552, 11/5/1996,1996,Marin,Shoreline Unified School District,B,General,School District,1,3,,,,,,,,,,,,,,BallotQ in Ord (p.4),,,,,,,1,
Heat732,2570, 3/26/1996,1996,Marin,Town of Ross,B,Special,City,1,1,,,,,,,,,,,,,,,,,,,,,1,
Heat733,877, 3/26/1996,1996,Marin,Town of Tiburon,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat734,879, 3/26/1996,1996,Mariposa,Mariposa County,B,Special,County,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat735,2586, 11/5/1996,1996,Mendocino,City of Fort Bragg,B,General,City,1,3,,,,,,,,,,,,,,,,,,,,,1,
Heat736,2603, 11/5/1996,1996,Mendocino,Mendocino County,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat737,2602, 3/26/1996,1996,Mendocino,Mendocino County,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat738,2612, 11/5/1996,1996,Mendocino,Mendocino Unified School District,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat739,2626, 11/5/1996,1996,Modoc,Big Valley Recreation District,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat740,898, 3/26/1996,1996,Mono,City of Mammoth Lakes,96-A,Special,City,3,1,,,,1,,,1,,,,,,,,,,,,,,1,
Heat741,914,  6/4/1996,1996,Monterey,City of Marina,A,Primary,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat742,943, 11/5/1996,1996,Monterey,Coalinga-Huron Library District,B,General,Special District,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat743,965, 3/26/1996,1996,Nevada,Nevada County Community Services District (Beyers Lane),D,Special,Special District,1,1,,,,5,5,5,5,,,,,,,,,,,,,,1,
Heat744,966, 11/5/1996,1996,Nevada,Nevada County Community Services District (Beyers Lane),H,General,Special District,1,1,,,,5,5,5,5,,,,,,,,,,,,,,1,
Heat745,968, 11/5/1996,1996,Nevada,Nevada County Consolidated Fire Protection District,I,General,Special District,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat747,984, 11/5/1996,1996,Nevada,West Gateway Recreation and Park District,J,General,Special District,3,3,,,,,,,,,,,,,,,,,,,,,3,
Heat746,2720, 3/26/1996,1996,Nevada,West Gateway Recreation and Park District,E,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat748,990, 11/5/1996,1996,Orange,City of Anaheim,B,General,City,1,1,,,,1,1,,,,,,,,,,,,,,,,1,
Heat750,996, 3/26/1996,1996,Orange,City of Garden Grove,BB,Special,City,1,1,,,,1,1,,,,,,,,,,,,,,,,1,
Heat751,997, 11/5/1996,1996,Orange,City of Garden Grove,I,General,City,1,1,,,,1,1,,,,,,,,,BallotQ in Res (p.3),,,,,,,1,
Heat749,995, 3/26/1996,1996,Orange,City of Garden Grove,AA,Special,City,1,1,,,,1,1,,,,,,,,,,,,,,,,1,
Heat752,1005, 3/26/1996,1996,Orange,City of Huntington Beach,GG,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat753,1006, 11/5/1996,1996,Orange,City of Huntington Beach,J,General,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,6,
Heat754,1016, 11/5/1996,1996,Orange,City of Los Alamitos,P,General,City,1,1,,,,1,5,5,5,,,,,,,BallotQ in Full Tect of Measure,,,,,,,1,
Heat755,1034, 11/5/1996,1996,Orange,Orange County Community Services District (Rossmoor),V,General,Special District,1,1,,,,1,1,,,,,,,,,BallotQ in Res (p.6),,,,,,,1,
Heat756,2731, 11/5/1996,1996,Orange,Placencia Library District,U,General,Special District,1,1,,,,,,,,,,,,,,,,,,,,,3,
Heat757,2733, 11/5/1996,1996,Placer,City of Auburn,R,General,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,3,
Heat758,1048, 11/5/1996,1996,Placer,City of Lincoln,E,General,City,1,1,,,,5,,,,,,,,,,,,,,,,,1,
Heat759,1049, 11/5/1996,1996,Placer,City of Lincoln,S,General,City,1,1,,,,5,,,,,,,,,,,,,,,,,1,
Heat760,1052, 11/5/1996,1996,Placer,City of Rocklin,H,General,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,3,
Heat761,1056, 11/5/1996,1996,Placer,City of Roseville,J,General,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,3,
Heat762,2736, 11/5/1996,1996,Placer,Placer County,L,General,County,1,1,,,,1,5,5,5,,,,,,,,,,,,,,3,
Heat763,1069, 3/26/1996,1996,Placer,Placer County (North Lake Tahoe),B,Special,County,1,1,,,,1,1,1,5,,,,,,,,,,,,,,1,
Heat764,2739, 11/5/1996,1996,Placer,Placer County Mosquito Abatement District,M,General,Special District,1,1,,,,1,5,5,5,,,,,,,,,,,,,,3,
Heat765,2740, 11/5/1996,1996,Placer,"Placer County Service Area No.28, Zone 120",U,General,Special District,1,1,,,,5,5,5,5,,,,,,,,,,,,,,3,
Heat766,2742, 11/5/1996,1996,Placer,Placer Hills Fire Protection District,F,General,Special District,1,1,,,,1,5,5,5,,,,,,,,,,,,,,3,
Heat767,1087, 11/5/1996,1996,Placer,Tahoe City Public Utilities District CFD No. 1996-1,T,General,Special District,1,1,,,,5,1,5,5,,,,,,,,,,,,,,1,
Heat768,1093, 11/5/1996,1996,Placer,Town of Loomis,N,General,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,3,
Heat769,1110, 11/5/1996,1996,Riverside,City of Coachella,Z,General,City,1,1,,,,,,,,,,,,,,,,,,,,,3,
Heat770,1111, 11/5/1996,1996,Riverside,City of Desert Hot Springs,CC,General,City,1,1,,,,1,1,1,1,,,,,,,,,,,,,,1,
Heat771,1112, 11/5/1996,1996,Riverside,City of Desert Hot Springs,DD,General,City,1,1,,,,1,5,5,5,,,,,,,,,,,,,,1,
Heat774,1133,  6/4/1996,1996,Riverside,City of Moreno Valley,O,Primary,City,1,1,,,,1,1,1,1,,,,,,,,,,,,,,1,
Heat775,1134,  6/4/1996,1996,Riverside,City of Moreno Valley,P,Primary,City,1,1,,,,1,1,1,1,,,,,,,,,,,,,,1,
Heat772,1135, 11/5/1996,1996,Riverside,City of Moreno Valley,AA,General,City,1,1,,,,1,1,1,1,,,,,,,,,,,,,,1,
Heat773,1136, 11/5/1996,1996,Riverside,City of Moreno Valley,BB,General,City,1,1,,,,1,1,1,1,,,,,,,,,,,,,,1,
Heat776,2775, 11/5/1996,1996,Riverside,Hemet Unified School District (Idylwild CFD),Q,,,,,,,,,,,,,,,,,,,,,,,,,,
